Grade name,Course name,MS Seq,concat2,MS description,MS-short-desc,MS-short-desc-seq,Baseline CMD,Subject milestone
2,Telugu,11,2Telugu11,"Read, write with stresses of ? and ?, words and sentences",Read-write-stresses6-words-sentences,11-Read-write-stresses6-words-sentences,10,Telugu: 11-Read-write-stresses6-words-sentences
2,Telugu,12,2Telugu12,"Read, write with stresses of ? and ?, words and sentences",Read-write-stresses7-words-sentences,12-Read-write-stresses7-words-sentences,11,Telugu: 12-Read-write-stresses7-words-sentences
2,Telugu,13,2Telugu13,"Read, write with stresses of ?, ? and ?, words and sentences",Read-write-stresses8-words-sentences,13-Read-write-stresses8-words-sentences,11,Telugu: 13-Read-write-stresses8-words-sentences
2,Telugu,14,2Telugu14,Revise all stressed letters learnt so far,Revise-stresses,14-Revise-stresses,9,Telugu: 14-Revise-stresses
2,Telugu,15,2Telugu15,Learn samyukta and samslesha words,samyukta-samslesha,15-samyukta-samslesha,10,Telugu: 15-samyukta-samslesha
2,Telugu,16,2Telugu16,"Communication, bonding skills, critical thinking and humour through riddles",Commn-bonding-crit-thinking-riddles,16-Commn-bonding-crit-thinking-riddles,8,Telugu: 16-Commn-bonding-crit-thinking-riddles
2,Telugu,17,2Telugu17,Comprehension and recall using stories,Comprehension-recall-stories,17-Comprehension-recall-stories,9,Telugu: 17-Comprehension-recall-stories
2,Telugu,18,2Telugu18,Sequencing of events in Telugu,Sequencing-events-Telugu,18-Sequencing-events-Telugu,8,Telugu: 18-Sequencing-events-Telugu
2,Telugu,19,2Telugu19,Sentence structure and comprehension,Sentence-structure-comprehension,19-Sentence-structure-comprehension,8,Telugu: 19-Sentence-structure-comprehension
2,Telugu,20,2Telugu20,Classification and sorting,Classification-sorting,20-Classification-sorting,10,Telugu: 20-Classification-sorting
2,Maths Diagnostic,2,2Maths Diagnostic2,,Grade2-baseline2,02-Grade2-baseline2,5,Maths Diagnostic: 02-Grade2-baseline2
2,Maths Diagnostic,3,2Maths Diagnostic3,,Grade2-baseline3,03-Grade2-baseline3,5,Maths Diagnostic: 03-Grade2-baseline3
